code,word1_weight,word2_weight,word3_weight,word4_weight,word5_weight,year
546,46,49,2,1,2,2015
604,42,52,0,0,6,2015
522,50,38,7,0,5,2015
535,39,52,4,2,3,2015
673,35,51,7,0,7,2015
600,48,29,14,0,9,2015
623,45,44,4,2,5,2015
682,29,57,2,0,12,2015
542,38,51,6,3,2,2015
751,26,69,1,2,2,2015
679,19,74,0,0,7,2015
505,47,46,3,1,3,2015
606,44,56,0,0,0,2015
676,13,86,0,0,1,2015
765,41,41,9,6,3,2015
565,53,36,0,0,11,2015
516,54,43,3,0,0,2015
801,30,61,2,0,7,2015
802,40,54,6,0,0,2015
649,39,49,10,0,2,2015
745,78,22,0,0,0,2015
724,27,67,5,0,1,2015
513,34,57,3,3,3,2015
570,46,48,2,1,3,2015
866,39,47,7,4,3,2015
571,36,50,2,4,8,2015
670,32,55,4,0,9,2015
509,50,41,4,0,5,2015
592,44,52,0,0,4,2015
798,0,0,0,0,0,2015
773,10,80,10,0,0,2015
563,39,51,2,0,8,2015
755,43,57,0,0,0,2015
658,37,58,2,1,2,2015
518,43,47,6,1,3,2015
545,37,48,5,0,10,2015
567,42,48,4,3,3,2015
647,33,67,0,0,0,2015
636,31,25,42,0,2,2015
566,32,54,7,0,7,2015
569,25,71,4,0,0,2015
533,39,49,7,3,2,2015
710,30,60,5,0,5,2015
766,0,100,0,0,0,2015
744,44,34,12,2,8,2015
618,46,43,5,2,4,2015
691,30,54,8,2,6,2015
758,41,48,0,0,11,2015
527,35,61,2,0,2,2015
718,47,45,3,0,5,2015
639,58,37,5,0,0,2015
561,39,47,4,5,5,2015
574,52,30,6,6,6,2015
734,64,36,0,0,0,2015
603,21,29,0,0,50,2015
747,50,50,0,0,0,2015
616,36,54,3,4,3,2015
557,43,46,4,0,7,2015
702,9,86,2,0,3,2015
582,22,78,0,0,0,2015
642,48,38,7,2,5,2015
643,39,56,0,0,5,2015
551,27,63,0,8,2,2015
749,16,67,17,0,0,2015
839,49,37,6,3,5,2015
541,37,55,4,1,3,2015
558,56,33,11,0,0,2015
722,35,58,6,0,1,2015
693,39,57,2,0,2,2015
803,40,39,12,3,6,2015
529,49,40,4,3,4,2015
651,39,51,7,0,3,2015
503,45,49,0,0,6,2015
669,30,58,3,2,7,2015
737,21,79,0,0,0,2015
553,54,39,7,0,0,2015
813,31,66,3,0,0,2015
640,43,47,2,3,5,2015
711,67,33,0,0,0,2015
528,40,42,7,5,6,2015
617,39,51,3,1,6,2015
613,3,97,0,0,0,2015
687,31,66,0,0,3,2015
762,39,56,5,0,0,2015
686,45,46,0,2,7,2015
628,47,53,0,0,0,2015
828,49,36,3,6,6,2015
698,52,37,7,0,4,2015
659,43,50,4,0,3,2015
622,44,46,4,3,3,2015
501,46,37,6,4,7,2015
544,54,36,6,1,3,2015
740,0,0,0,0,0,2015
633,40,40,15,0,5,2015
650,51,38,6,1,4,2015
652,35,55,2,2,6,2015
534,48,39,6,1,6,2015
631,22,78,0,0,0,2015
632,41,48,3,0,8,2015
804,80,14,6,0,0,2015
656,48,52,0,0,0,2015
597,44,50,6,0,0,2015
675,36,36,6,0,22,2015
504,44,45,5,2,4,2015
753,43,40,6,5,6,2015
508,50,41,5,2,2,2015
820,30,58,6,2,4,2015
500,30,64,2,0,4,2015
552,0,100,0,0,0,2015
521,44,46,7,3,0,2015
717,25,75,0,0,0,2015
560,42,48,2,3,5,2015
764,45,45,5,0,5,2015
811,52,36,4,4,4,2015
556,40,46,3,1,10,2015
573,32,41,17,6,4,2015
611,14,78,2,0,6,2015
538,42,47,2,4,5,2015
610,39,59,0,0,2,2015
862,37,53,6,0,4,2015
576,57,43,0,0,0,2015
770,38,45,9,1,7,2015
661,50,50,0,0,0,2015
641,52,32,8,2,6,2015
